No,Nama Perusahaan,Merek Perusahaan,Nomor Anggota,Nama Pimpinan,Perijinan,Kota,Provinsi,DPD
"676","PT SEJATI BALIKPAPAN TRAVEL","Sejati Travel","887/AMPHURI/2025","Hj Annisa","PPIU","","Kalimantan Timur","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"677","PT PANCA PANRITA PERKASA","Noor Tour Travel","888/AMPHURI/2025","H. Muhammad Akbar, Amd","PPIU","","Sulawesi Selatan","Sulampua"
"678","PT COBIG INDONESIA KREATIF","Cobig Tour","889/AMPHURI/2025","H. Sufirman","PPIU","","Sulawesi Selatan","Sulampua"
"679","PT ABUS BUMITAMA SEMESTA","-","890/AMPHURI/2025","H. Dwi Asnawati","PPIU","","Banten","Banten"
"680","PT ALHIJAZ BINTANG SEMBILAN","Alhijaz Tour","891/AMPHURI/2025","H. M. Badar Akbar Muhtar Al-Mi'raj","PPIU","","Jawa Barat","Jawa Barat"
"681","PT SAMSATA","-","892/AMPHURI/2025","H. Vanesa Oktania","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"682","PT MAGHFIROH HAROMAIN WISATA","Maghfiroh Tour","893/AMPHURI/2025","H. Nurul Maghfiroh","PPIU","","Jawa Timur","Jawa Timur"
"683","PT BERKAH LINA AMANAH","Berkah Lina Tour","894/AMPHURI/2025","Hj Nurlina","PPIU","","Sulawesi Selatan","Sulampua"
"684","PT MADINAH MUBAROK SILVER","Mabasil Tour","895/AMPHURI/2025","H. Masroni","PPIU","","Jawa Timur","Jawa Timur"
"685","PT MUBAROK TOUR TRAVEL","-","896/AMPHURI/2025","Mubarak","PPIU","","Sulawesi Selatan","Sulampua"
"686","PT ALSAFIAH AMEERA WISATA","-","897/AMPHURI/2025","Syaida Fatimah","PPIU","","Sumatera Utara","Sumatera Utara"
"687","PT DUTA MITRA TOUR","Dmt Tour","898/AMPHURI/2025","Yuliana","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"688","PT HALIMAH ASSADIAH AZIM","","899/AMPHURI/2025","Kartika Dayang Sari","PPIU","","Jawa Barat","Jawa Barat"
"689","PT ALSEGGAF TRAVEL UMRAH","At (Alseggaf Travel)","900/AMPHURI/2025","H Fahmi A Assegaf","PPIU","","Jawa Barat","Jawa Barat"
"690","PT AZZAHRONI SYIFA TOUR","Azzah Tour","901/AMPHURI/2025","H Kamim Salasa","PPIU","","Jawa Tengah","Jawa Tengah"
"691","PT ALAMAR TOUR & TRAVEL","Alamar Tour","902/AMPHURI/2025","Faisal Aswin","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"692","PT RAMAH JAYA PELITA","Sth Open Trip","903/AMPHURI/2025","Imran","PPIU","","Kalimantan Timur","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"693","PT AIRA BERKAH HARAMAIN","Aira Tour & Travel","904/AMPHURI/2025","Imran Rasyidi","PPIU","","Jawa Timur","Jawa Timur"
"694","PT SAMARASA AMANAH WISATA","Samara Tour","905/AMPHURI/2025","Abdul Syakur","PPIU","","Ntb","Bali dan Nusa Tenggara (Bali & Nusra)"
"695","PT ALFAIZ SAJADA TOUR AND TRAVEL","Alfaiz Tour","906/AMPHURI/2025","H. Elvira Incosia Indralola","PPIU","","Jawa Barat","Jawa Barat"
"696","PT ASSIDDIQI BAROKAH TRAVEL","Assiddiqi","907/AMPHURI/2025","H. Sailan","PPIU","","Sumatera Utara","Sumatera Utara"
"697","PT UMMI WISATA TRAVEL","Ummi Tour","908/AMPHURI/2025","H. Uzaima Yentriani","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"698","PT HAIKAL CITRA WISATA","Haikal Tour","909/AMPHURI/2025","H. Caecilia Nunis Haryatni","PPIU","","Jawa Tengah","Jawa Tengah"
"699","PT BARAKKA WISATA ABADI","Bernia Wisata","910/AMPHURI/2025","H. Ahmadi","PPIU","","Sulawesi Selatan","Sulampua"
"700","PT ARAFAH MULIA SENTOSA","Arafah Tour Travel","911/AMPHURI/2025","Hj. Binti Kifayatin","PPIU","","Jawa Timur","Jawa Timur"
"701","PT AZZAHRA MANDIRI WISATA","Amanta Tour","912/AMPHURI/2025","Hj. Nurhayati Andikasari","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"702","PT MAHARANI GLOBALINDO","Maharani Lil Umrah","913/AMPHURI/2025","H. Narwan Pratanta, ST","PPIU","","Jawa Tengah","Jawa Tengah"
"703","PT VIVID TOUR INDONESIA","Vivid Tour","914/AMPHURI/2025","Hj. Fitri Yunita, S. Km","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"704","PT RIHLAH MAJIDAH INDONESIA","-","915/AMPHURI/2025","H. Rudi Hartono","Anggota PPIU","","Jawa Tengah","Jawa Tengah"
"705","PT HARAMAIN WISATA RELIGI","Ihata Tour","916/AMPHURI/2025","H. Achmad Muhcyiddin","Anggota PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"706","PT SAUDAH BERKAH ABADI","Saudah Tour Travel","917/AMPHURI/2025","H. Junaedi","Anggota PPIU","","Jawa Tengah","Jawa Tengah"
"707","PT HARAMAIN WISATA INTERNASIONAL","Faaza Travel","918/AMPHURI/2025","H. Busyra Oryza","Anggota PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"708","PT RANDIS HALAL TOUR","Randis Tours","919/AMPHURI/2025","H. Asmi Farahdina","Anggota PPIU","","Jawa Barat","Jawa Barat"
"709","PT DHIFA PERMATA TOUR","Farzanah","920/AMPHURI/2025","H. Shultan Naufal Haryanto","Anggota PPIU","","Jawa Barat","Jawa Barat"
"710","PT MIRZA AMANAH WISATA","Mirza Travel","921/AMPHURI/2025","H. Alvin Gautama Mirza","Anggota PPIU","","Jawa Tengah","Jawa Tengah"
"711","PT LIMASTAMA SEJAHTERA TRAVEL","Umroh Haji Abu Dzar","922/AMPHURI/2025","H. Dharmawansyah Bin Effendi","Anggota PPIU","","Banten","Banten"
"712","PT DOA UMMI BERKAH","DUB Tour Travel","923/AMPHURI/2025","H. Syafarudin","Anggota PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"713","PT SAFINA SAFARI HARAMAIN","Safina Tour & Travel","924/AMPHURI/2025","H. Ahmad Zaki Attamimi","Anggota PPIU","","NTB","Bali dan Nusa Tenggara (Bali & Nusra)"
"714","PT BERKAH MANDIRI SASAK","BMS Tour","925/AMPHURI/2025","Hj. Mala Suryani","Anggota PPIU","","NTB","Bali dan Nusa Tenggara (Bali & Nusra)"
"715","PT SAFAR MULIA INDONESIA","Safar Mulia","926/AMPHURI/2025","Hj. Enggar Hardianti, St","Anggota PPIU","","Jawa Barat","Jawa Barat"
"716","PT GEMA MAKKAH MADINAH","-","927/AMPHURI/2025","H. Ishak Ibrahim Lc, Mh","Anggota PPIU","","Kalimantan Timur","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"717","PT BAITUSSALAM SAKO MANDIRI","BSM Sako Palembang","928/AMPHURI/2025","H. Ismet Ismail","Anggota PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"718","PT ZAHRA NEZZA UTAMA","Alifa Tour and Travel","929/AMPHURI/2025","H. Hermawan","Anggota PPIU","","Jawa Tengah","Jawa Tengah"
"719","PT JINAN GROUP INDONESIA","Jinan Signatour","930/AMPHURI/2025","Hj. Fadilah Damhuri","Anggota PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"720","PT ROBBANI HIJRAH MABRUR","Rohima Tour Travel","931/AMPHURI/2025","H. Habiburrahman","Anggota PPIU","","NTB","Bali dan Nusa Tenggara (Bali & Nusra)"
"721","PT RAJAWALI JAYA KAMILAH TRAVELINDO","-","932/AMPHURI/2025","H. Dwi Hutomo Sariman","Anggota PPIU","","Kalimantan Tengah","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"722","PT GALBA HANEFA DWIPANTARA","Haneefa Tour & Travel","933/AMPHURI/2025","H. Hamam Zakiy, St","Anggota PIHK","","Jawa Timur","Jawa Timur"
"723","PT ALMAIDA ANUGERAH WISATA","-","934/AMPHURI/2025","H. Ahmad Sholehuddin Ridwanullah","Anggota PPIU","","Jawa Barat","Jawa Barat"
"724","PT AULIA PERDANA WISATA","Aulia Tour","935/AMPHURI/2025","Reza Fahlufi","Anggota PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"725","PT DWI AMANAH HARAMAIN","DAH Tour","936/AMPHURI/2025","Hj. Dwi Mike Hartini Handayani","Anggota PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"726","PT VEHA TOUR TRAVEL","VH Tour Travel","937/AMPHURI/2025","H. M. Haninurrahman Muhsin Salim","Anggota PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
